ticker,empresa
CTKA4,"KARSTEN S.A."
CURY3,"CURY CONSTRUTORA E INCORPORADORA S.A."
CVCB3,"CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A."
CXSE3,"CAIXA SEGURIDADE PARTICIPAÇÕES S.A."
CYRE3,"CYRELA BRAZIL REALTY S.A.EMPREEND E PART"
CYRE4,"CYRELA BRAZIL REALTY S.A.EMPREEND E PART"
DASA3,"DIAGNOSTICOS DA AMERICA S.A."
DESK3,"DESKTOP S.A."
DEXP3,"DEXXOS PARTICIPACOES S.A."
DEXP4,"DEXXOS PARTICIPACOES S.A."
DIRR3,"DIRECIONAL ENGENHARIA S.A."
DMVF3,"D1000 VAREJO FARMA PARTICIPAÇÕES S.A."
DOHL4,"DOHLER S.A."
DOTZ3,"DOTZ S.A."
DXCO3,"DEXCO S.A."
EALT3,"ELECTRO ACO ALTONA S.A."
EALT4,"ELECTRO ACO ALTONA S.A."
ECOR3,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A."
EGIE3,"ENGIE BRASIL ENERGIA S.A."
EKTR4,"ELEKTRO REDES S.A."
EMAE4,"EMAE - EMPRESA METROP.AGUAS ENERGIA S.A."
EMBJ3,"EMBJ3"
ENEV3,"ENEVA S.A"
ENGI11,"ENERGISA S.A."
ENGI3,"ENERGISA S.A."
ENGI4,"ENERGISA S.A."
ENJU3,"ENJOEI S.A."
ENMT3,"ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A"
ENMT4,"ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A"
EPAR3,"EMBPAR PARTICIPACOES S.A."
EQPA3,"EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A."
EQPA5,"EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A."
EQPA7,"EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A."
EQTL3,"EQUATORIAL S.A."
ESPA3,"MPM CORPÓREOS S.A."
ESTR4,"MANUFATURA DE BRINQUEDOS ESTRELA S.A."
ETER3,"ETERNIT S.A."
EUCA3,"EUCATEX S.A. INDUSTRIA E COMERCIO"
EUCA4,"EUCATEX S.A. INDUSTRIA E COMERCIO"
EVEN3,"EVEN CONSTRUTORA E INCORPORADORA S.A."
EZTC3,"EZ TEC EMPREEND. E PARTICIPACOES S.A."
FESA3,"CIA FERRO LIGAS DA BAHIA - FERBASA"
FESA4,"CIA FERRO LIGAS DA BAHIA - FERBASA"
